Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_161,VGND,li1,78.2000,84.3200,0.000000
FILLER_29_149,VGND,li1,74.0600,84.3200,0.000000
FILLER_29_137,VGND,li1,68.5400,84.3200,0.000000
FILLER_29_125,VGND,li1,63.0200,84.3200,0.000000
FILLER_29_113,VGND,li1,57.5000,84.3200,0.000000
FILLER_29_111,VGND,li1,54.0500,84.3200,0.000000
FILLER_29_105,VGND,li1,52.4400,84.3200,0.000000
FILLER_29_93,VGND,li1,48.3000,84.3200,0.000000
FILLER_29_81,VGND,li1,42.7800,84.3200,0.000000
FILLER_29_69,VGND,li1,37.2600,84.3200,0.000000
FILLER_29_57,VGND,li1,31.7400,84.3200,0.000000
FILLER_29_55,VGND,li1,28.2900,84.3200,0.000000
FILLER_29_51,VGND,li1,27.1400,84.3200,0.000000
FILLER_29_39,VGND,li1,23.4600,84.3200,0.000000
FILLER_29_27,VGND,li1,17.9400,84.3200,0.000000
FILLER_29_15,VGND,li1,12.4200,84.3200,0.000000
FILLER_29_3,VGND,li1,6.9000,84.3200,0.000000
FILLER_28_333,VGND,li1,156.4000,78.8800,0.000000
FILLER_28_321,VGND,li1,153.1800,78.8800,0.000000
FILLER_28_309,VGND,li1,147.6600,78.8800,0.000000
FILLER_28_307,VGND,li1,144.2100,78.8800,0.000000
FILLER_28_301,VGND,li1,142.6000,78.8800,0.000000
FILLER_28_289,VGND,li1,138.4600,78.8800,0.000000
FILLER_28_277,VGND,li1,132.9400,78.8800,0.000000
FILLER_28_265,VGND,li1,127.4200,78.8800,0.000000
FILLER_28_253,VGND,li1,121.9000,78.8800,0.000000
FILLER_28_251,VGND,li1,118.4500,78.8800,0.000000
FILLER_28_245,VGND,li1,116.8400,78.8800,0.000000
FILLER_28_233,VGND,li1,112.7000,78.8800,0.000000
FILLER_28_221,VGND,li1,107.1800,78.8800,0.000000
FILLER_28_209,VGND,li1,101.6600,78.8800,0.000000
FILLER_28_197,VGND,li1,96.1400,78.8800,0.000000
FILLER_28_195,VGND,li1,92.6900,78.8800,0.000000
FILLER_28_189,VGND,li1,91.0800,78.8800,0.000000
FILLER_28_177,VGND,li1,86.9400,78.8800,0.000000
FILLER_28_165,VGND,li1,81.4200,78.8800,0.000000
FILLER_28_153,VGND,li1,75.9000,78.8800,0.000000
FILLER_28_141,VGND,li1,70.3800,78.8800,0.000000
FILLER_28_139,VGND,li1,66.9300,78.8800,0.000000
FILLER_28_133,VGND,li1,65.3200,78.8800,0.000000
FILLER_28_121,VGND,li1,61.1800,78.8800,0.000000
FILLER_28_109,VGND,li1,55.6600,78.8800,0.000000
FILLER_28_97,VGND,li1,50.1400,78.8800,0.000000
FILLER_28_85,VGND,li1,44.6200,78.8800,0.000000
FILLER_28_83,VGND,li1,41.1700,78.8800,0.000000
FILLER_28_77,VGND,li1,39.5600,78.8800,0.000000
FILLER_28_65,VGND,li1,35.4200,78.8800,0.000000
FILLER_28_53,VGND,li1,29.9000,78.8800,0.000000
FILLER_28_41,VGND,li1,24.3800,78.8800,0.000000
FILLER_28_29,VGND,li1,18.8600,78.8800,0.000000
FILLER_28_27,VGND,li1,15.4100,78.8800,0.000000
FILLER_28_15,VGND,li1,12.4200,78.8800,0.000000
FILLER_28_3,VGND,li1,6.9000,78.8800,0.000000
FILLER_27_329,VGND,li1,155.4800,78.8800,0.000000
FILLER_27_317,VGND,li1,151.3400,78.8800,0.000000
FILLER_27_305,VGND,li1,145.8200,78.8800,0.000000
FILLER_27_293,VGND,li1,140.3000,78.8800,0.000000
FILLER_27_281,VGND,li1,134.7800,78.8800,0.000000
FILLER_27_279,VGND,li1,131.3300,78.8800,0.000000
FILLER_27_273,VGND,li1,129.7200,78.8800,0.000000
FILLER_27_261,VGND,li1,125.5800,78.8800,0.000000
FILLER_27_249,VGND,li1,120.0600,78.8800,0.000000
FILLER_27_237,VGND,li1,114.5400,78.8800,0.000000
FILLER_27_225,VGND,li1,109.0200,78.8800,0.000000
FILLER_27_223,VGND,li1,105.5700,78.8800,0.000000
FILLER_27_217,VGND,li1,103.9600,78.8800,0.000000
FILLER_27_205,VGND,li1,99.8200,78.8800,0.000000
FILLER_27_193,VGND,li1,94.3000,78.8800,0.000000
FILLER_27_181,VGND,li1,88.7800,78.8800,0.000000
FILLER_27_169,VGND,li1,83.2600,78.8800,0.000000
FILLER_27_167,VGND,li1,79.8100,78.8800,0.000000
FILLER_27_161,VGND,li1,78.2000,78.8800,0.000000
FILLER_27_149,VGND,li1,74.0600,78.8800,0.000000
FILLER_27_137,VGND,li1,68.5400,78.8800,0.000000
FILLER_27_125,VGND,li1,63.0200,78.8800,0.000000
FILLER_27_113,VGND,li1,57.5000,78.8800,0.000000
FILLER_27_111,VGND,li1,54.0500,78.8800,0.000000
FILLER_27_105,VGND,li1,52.4400,78.8800,0.000000
FILLER_27_93,VGND,li1,48.3000,78.8800,0.000000
FILLER_27_81,VGND,li1,42.7800,78.8800,0.000000
FILLER_27_69,VGND,li1,37.2600,78.8800,0.000000
FILLER_27_57,VGND,li1,31.7400,78.8800,0.000000
FILLER_27_55,VGND,li1,28.2900,78.8800,0.000000
FILLER_27_51,VGND,li1,27.1400,78.8800,0.000000
FILLER_27_39,VGND,li1,23.4600,78.8800,0.000000
FILLER_27_27,VGND,li1,17.9400,78.8800,0.000000
FILLER_27_15,VGND,li1,12.4200,78.8800,0.000000
FILLER_27_3,VGND,li1,6.9000,78.8800,0.000000
FILLER_26_333,VGND,li1,156.4000,73.4400,0.000000
FILLER_26_321,VGND,li1,153.1800,73.4400,0.000000
FILLER_26_309,VGND,li1,147.6600,73.4400,0.000000
FILLER_26_307,VGND,li1,144.2100,73.4400,0.000000
FILLER_26_301,VGND,li1,142.6000,73.4400,0.000000
FILLER_26_289,VGND,li1,138.4600,73.4400,0.000000
FILLER_26_277,VGND,li1,132.9400,73.4400,0.000000
FILLER_26_265,VGND,li1,127.4200,73.4400,0.000000
FILLER_26_253,VGND,li1,121.9000,73.4400,0.000000
FILLER_26_251,VGND,li1,118.4500,73.4400,0.000000
FILLER_26_245,VGND,li1,116.8400,73.4400,0.000000
FILLER_26_233,VGND,li1,112.7000,73.4400,0.000000
FILLER_26_221,VGND,li1,107.1800,73.4400,0.000000
FILLER_26_209,VGND,li1,101.6600,73.4400,0.000000
FILLER_26_197,VGND,li1,96.1400,73.4400,0.000000
FILLER_26_195,VGND,li1,92.6900,73.4400,0.000000
FILLER_26_189,VGND,li1,91.0800,73.4400,0.000000
FILLER_26_177,VGND,li1,86.9400,73.4400,0.000000
FILLER_26_165,VGND,li1,81.4200,73.4400,0.000000
FILLER_26_153,VGND,li1,75.9000,73.4400,0.000000
FILLER_26_141,VGND,li1,70.3800,73.4400,0.000000
FILLER_26_139,VGND,li1,66.9300,73.4400,0.000000
FILLER_26_133,VGND,li1,65.3200,73.4400,0.000000
FILLER_26_121,VGND,li1,61.1800,73.4400,0.000000
FILLER_26_109,VGND,li1,55.6600,73.4400,0.000000
FILLER_26_97,VGND,li1,50.1400,73.4400,0.000000
FILLER_26_85,VGND,li1,44.6200,73.4400,0.000000
FILLER_26_83,VGND,li1,41.1700,73.4400,0.000000
FILLER_26_77,VGND,li1,39.5600,73.4400,0.000000
FILLER_26_65,VGND,li1,35.4200,73.4400,0.000000
FILLER_26_53,VGND,li1,29.9000,73.4400,0.000000
FILLER_26_41,VGND,li1,24.3800,73.4400,0.000000
FILLER_26_29,VGND,li1,18.8600,73.4400,0.000000
